cytoband	8p22	9p21.3	18q21.2	8p11.22	22q13.33	16p13.3	4q34.3	1p36.31	20p12.3	21q21.1	10q25.1	17p13.3	15q12	3p26.1	6q26	16q24.1	19q11	17p12	11q22.1	11p11.2	2q22.1	
															MCCD1						CCDC148	
															SAPCD1						C2orf65	
															LINC00336						MYO3B	
															FLJ41649						TMEM37	
															CRIP3						UBE2F	
															KLHL31						DUSP19	
															DKFZp451B082						TTL	
															TCP10L2						CKAP2L	
															LINC00242						CBWD2	
															DEFB133						TEKT4	
															C6orf201						LOC150527	
															GTF2H5						FLJ32063	
															ERVFRD-1						LOC150568	
															MIR206						SMYD1	
															MIR219-1						C2orf15	
															MIR30A						LOC150622	
															MIR30C2						OTOS	
															HCG23						MYEOV2	
															HCG25						OR6B3	
															HCG18						COMMD1	
															C6orf226						PROM2	
															TMEM151B						ANKAR	
															OOEP						FBXO41	
															FAM26F						TTC30B	
															FLJ46906						GPAT2	
															LOC441177						ITPRIPL1	
															OR2B3						LOC150776	
															OR2J3						WTH3DI	
															OR14J1						FAM117B	
															OR10C1						TCF23	
															ATP6V0CP3						LOC150935	
															PTCHD4						FAM59B	
															MCART3P						PUS10	
															GSTM2P1						PKI55	
															RFPL4B						LINC00309	
															MIR133B						LOC151009	
															GGNBP1						SEPT10	
															HCG11						C2orf67	
															LOC554223						PLB1	
															SNORD101						ZSWIM2	
															SNORD100						ZNF385B	
															SNORA33						LOC151171	
															C6orf225						LOC151174	
															TSG1						ARL6IP6	
															LOC643623						METTL21A	
															TRAF3IP2-AS1						CCNYL1	
															CTAGE9						KLHL23	
															LOC645434						SULT1C2P1	
															RAET1K						PPP1R1C	
															C6orf132						SGOL2	
															RPS16P5						ALS2CR11	
															PPP1R3G						SLC38A11	
															MLLT4-AS1						CCDC140	
															SNORA20						SLC23A3	
															SNORA29						LOC151300	
															SNORA38						GPBAR1	
															SNORD50B						FAHD2B	
															SNORD32B						MYADML	
															SNORD84						FAM84A	
															SNORD117						FAM82A1	
															MIR548A1						GDF7	
															MIR548B						SLC16A14	
															MIR586						LOC151475	
															LOC728012						LINC00471	
															TPI1P3						LOC151484	
															C6orf186						MSL3P1	
															HULC						ASPRV1	
															LOC729176						WDSUB1	
															LOC729177						UPP2	
															LOC729178						LOC151534	
															TMEM242						GPR155	
															LOC729603						WDR69	
															LOC730101						LONRF2	
															GSTA7P						CCDC138	
															TDRG1						GPR113	
															TMEM170B						C2orf57	
															SCARNA27						OXER1	
															MIR877						FAM179A	
															HGC6.3						FAM171B	
															LOC100128176						C1QL2	
															BET3L						UBXN2A	
															KHDC1L						CLEC4F	
															LOC100129518						DQX1	
															LOC100129636						KCNG3	
															LOC100130275						CYS1	
															LOC100130357						FOXD4L1	
															PSORS1C3						PCDP1	
															LOC100130890						VWA3B	
															C6orf99						CREG2	
															LOC100131047						ALMS1P	
															LOC100131289						TET3	
															LINC00271						GKN2	
															LOC100132354						C2orf51	
															LOC100132735						ANKRD23	
															LINC00240						APLF	
															TOMM6						PIKFYVE	
															LOC100270746						KRTCAP3	
															LOC100287632						LOC200726	
															LOC100287718						TMEM17	
															LOC100288198						SPRED2	
															LOC100289495						TIGD1	
															LOC100293534						LOC200772	
															LOC100294145						FAM123C	
															NHEG1						LINC00116	
															MIR1275						C2orf69	
															MIR1913						HNRNPA3	
															MIR2113						SPDYA	
															MIR1236						ATP6V1C2	
															MIR548H3						RNASEH1	
															LOC100422737						LCLAT1	
															MIR3143						CCDC75	
															MIR3145						CERS6	
															MIR4282						METAP1D	
															MIR3918						LOC254128	
															MIR3939						LYG2	
															MIR3668						CCDC108	
															MIR3662						C2orf72	
															MIR3925						SH2D6	
															MIR3692						LOC284950	
															MIR3691						CCDC150	
															LOC100506207						RNF149	
															LOC100506409						LOC284998	
															LOC100506804						LOC285000	
															LOC100507173						FAM150B	
															LOC100507194						CCDC141	
															LOC100507203						LOC285033	
															LOC100507254						LINC00486	
															LOC100507362						C2orf61	
															MICA						LOC285074	
															LOC100507462						LOC285084	
															LOC100507463						CXXC11	
															LOC100507489						LOC285103	
															LOC100507547						DNAJC5G	
															LOC100507557						IAH1	
															LOC100507584						FLJ33534	
															MUC22						CYP1B1-AS1	
															LOC100508120						FAM126B	
															CAHM						UNC80	
															MUTED-TXNDC5						RUFY4	
															EEF1E1-MUTED						PLGLA	
															RPS10-NUDT3						RGPD4	
															MSH5-SAPCD1						DUSP28	
															ATP6V1G2-DDX39B						STON1-GTF2A1L	
															PPT2-EGFL8						SPOPL	
															MIR4464						MLK7-AS1	
															MIR4647						CYP27C1	
															MIR4466						ESPNL	
															MIR4643						C2orf70	
															MIR4641						C2orf53	
															MIR4465						LOC339788	
															MIR4646						LINC00299	
															MIR4640						LOC339803	
															MIR4639						C2orf74	
															MIR4645						LOC339807	
															MIR4642						LOC339822	
															MIR4462						MSGN1	
															MIR4644						C2orf55	
															LOC100652739						FIGLA	
																					NOTO	
																					NCKAP5	
																					FOXI3	
																					EVX2	
																					CDKL4	
																					PRORSD1P	
																					AOX2P	
																					SH3RF3	
																					GPR148	
																					ECEL1P2	
																					LRRTM1	
																					GEN1	
																					C2orf48	
																					FONG	
																					LOC348761	
																					PFN4	
																					LOC375190	
																					LOC375196	
																					ANKRD36	
																					WASH2P	
																					RBM43	
																					LOC375295	
																					CERKL	
																					C2orf62	
																					RBM44	
																					AQP12A	
																					ZC3H6	
																					KLHL30	
																					LOC386597	
																					MFSD2B	
																					C2orf71	
																					LOC388942	
																					LOC388946	
																					LOC388948	
																					TSPYL6	
																					C2orf78	
																					BOLA3	
																					C2orf81	
																					FUNDC2P2	
																					C2orf68	
																					SLC9A4	
																					LOC389023	
																					LOC389033	
																					LOC389043	
																					SP5	
																					PLEKHM3	
																					C2orf80	
																					RESP18	
																					C2orf82	
																					OR6B2	
																					PTRHD1	
																					SULT6B1	
																					DYTN	
																					LOC400940	
																					LINC00487	
																					FLJ12334	
																					LOC400950	
																					UNQ6975	
																					EML6	
																					FLJ30838	
																					FLJ16341	
																					LOC400958	
																					PCBP1-AS1	
																					PAIP2B	
																					RGPD1	
																					FLJ42351	
																					LOC401010	
																					DKFZp686O1327	
																					LOC401022	
																					FSIP2	
																					C2orf66	
																					ASB18	
																					FLJ43879	
																					VWC2L	
																					MIR10B	
																					MIR128-1	
																					MIR149	
																					MIR153-1	
																					MIR216A	
																					MIR217	
																					MIR26B	
																					C2orf27B	
																					DNAJB3	
																					ASTL	
																					CAPN14	
																					ACTR3BP2	
																					LOC440894	
																					LOC440895	
																					LOC440900	
																					LOC440905	
																					LOC440910	
																					POTEKP	
																					LOC440925	
																					LOC442028	
																					SULT1C3	
																					POTEE	
																					COA5	
																					PHOSPHO2	
																					CHAC2	
																					MIR375	
																					DFNB59	
																					LOC541471	
																					LOC554201	
																					ANKRD30BL	
																					FBXO48	
																					SNORA41	
																					FAM110C	
																					LOC643387	
																					PRR21	
																					LOC644838	
																					GGT8P	
																					ANKRD36BP2	
																					LOC645949	
																					LOC646324	
																					LOC646736	
																					LOC646743	
																					PRSS56	
																					LOC647012	
																					C2orf84	
																					TRIM43B	
																					CFC1B	
																					AQP12B	
																					RGPD3	
																					MZT2A	
																					SNORA75	
																					LOC654342	
																					FAM138B	
																					LOC654433	
																					SCARNA6	
																					SCARNA5	
																					SNORD11	
																					SNORD70	
																					SNORD89	
																					SNORD92	
																					SNORD94	
																					MIR558	
																					MIR559	
																					MIR561	
																					RGPD8	
																					LOC727982	
																					D2HGDH	
																					LOC728323	
																					POTEF	
																					LOC728537	
																					LOC728730	
																					PABPC1P2	
																					LOC728819	
																					LOC729121	
																					ANKRD20A8P	
																					LOC729234	
																					RAD51AP2	
																					RGPD6	
																					DIRC3	
																					DNAJC27-AS1	
																					RGPD2	
																					MORN2	
																					LOC730811	
																					RFX8	
																					SNORD11B	
																					SNORA36C	
																					SNORA70B	
																					MIR216B	
																					MIR933	
																					LOC100128590	
																					OST4	
																					LOC100129175	
																					LOC100129726	
																					LOC100129961	
																					PP14571	
																					LOC100130451	
																					LOC100130452	
																					LOC100130691	
																					TMEM194B	
																					LOC100131320	
																					SP9	
																					LOC100132215	
																					CYP4F30P	
																					LOC100133985	
																					LOC100134259	
																					LOC100144595	
																					RNU4ATAC	
																					DBIL5P2	
																					SNAR-H	
																					LOC100189589	
																					LOC100216479	
																					ARHGEF33	
																					LOC100271832	
																					LIMS3-LOC440895	
																					LOC100286922	
																					LOC100286979	
																					LOC100287010	
																					LOC100287216	
																					LOC100288570	
																					LIMS3L	
																					LOC100288911	
																					MIR1471	
																					MIR1246	
																					MIR548N	
																					MIR1258	
																					MIR1245A	
																					MIR1301	
																					MIR1244-1	
																					LOC100302650	
																					GPR75-ASB3	
																					SNORA80B	
																					ZEB2-AS1	
																					MIR548F2	
																					MIR663B	
																					LOC100329109	
																					SNORA70F	
																					BOK-AS1	
																					MIR3128	
																					MIR4265	
																					MIR1244-3	
																					MIR1244-2	
																					MIR4264	
																					MIR3129	
																					MIR3127	
																					MIR4261	
																					MIR3131	
																					MIR4268	
																					MIR4263	
																					MIR3125	
																					MIR3130-1	
																					MIR4267	
																					MIR4262	
																					MIR3130-2	
																					MIR4266	
																					MIR3126	
																					MIR2355	
																					MIR3132	
																					MIR4269	
																					LOC100499194	
																					MIR3606	
																					MIR3682	
																					MIR3679	
																					LOC100505624	
																					LOC100505695	
																					LOC100505716	
																					LOC100505876	
																					LOC100505964	
																					LOC100506054	
																					LOC100506123	
																					LOC100506124	
																					LOC100506134	
																					LOC100506274	
																					LOC100506421	
																					LOC100506474	
																					LOC100506783	
																					LOC100506866	
																					LOC100507140	
																					BOLA3-AS1	
																					LOC100507334	
																					LOC100507443	
																					LOC100507600	
																					LY75-CD302	
																					RNF103-CHMP3	
																					NT5C1B-RDH14	
																					PHOSPHO2-KLHL23	
																					HSPE1-MOB4	
																					INO80B-WBP1	
																					UBE2F-SCLY	
																					MIR4436B1	
																					MIR4772	
																					MIR4779	
																					MIR4783	
																					MIR4439	
																					MIR4782	
																					MIR4437	
																					MIR4765	
																					MIR4776-1	
																					MIR4757	
																					MIR4777	
																					MIR1245B	
																					MIR4435-2	
																					MIR4426	
																					MIR4774	
																					MIR2467	
																					MIR4775	
																					MIR4785	
																					MIR4784	
																					MIR4773-1	
																					MIR4444-1	
																					MIR4440	
																					MIR4436A	
																					MIR4786	
																					MIR4773-2	
																					MIR4434	
																					MIR4780	
																					MIR4778	
																					MIR4429	
																					MIR4776-2	
																					MIR4432	
																					MIR548AD	
																					MIR4441	
																					MIR4435-1	
																					LOC100630918	
																					LOC100861402	
